Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings
Billa,2009.0,A,"Action, Thriller            ",    A police inspector sends a gangster-lookalike to uncover the gang's secrets.,149,6.1,1491
Love Ke Liye Kuch Bhi Karega,2001.0,,"Comedy, Crime, Romance            ","    Desperate for money, three men (Saif Ali Khan, Fardeen Khan) plot to kidnap a woman (Sonali Bendre) and hold her for ransom.",131,6.0,1490
Chitralahari,2019.0,U,Drama            ,"    Down on luck and depressed by constant failures in personal and professional life, Vijay is desperately in search of that single stroke of fortune that could turn his life around. But what if the power to rewrite his destiny lies within?",131,7.2,1481
Shankar Dada MBBS,2004.0,U,Comedy            ,    A doctor treats patients with humanity (not with medicines).,174,7.4,1479
Teen Maar,2011.0,,"Comedy, Drama, Romance            ",    A man reconsiders his ideas about love in the modern world after he hears a love story from 40 years ago.,149,5.6,1476
Kanthaswamy,2009.0,UA,Action            ,"    A CBI officer moonlights as a modern day Robin Hood in the guise of the masked Kanthaswamy, as he helps fight corruption and aid impoverished people.",190,5.0,1468
Komaram Puli,2010.0,,"Action, Crime, Thriller            ",    Komaram Puli (Pawan Kalyan) is a honest police officer. He runs a special vigilence team call Puli Team and solves cases. He comes to know about a missin g police officer Hussain (SJ Surya)...                See full summary »,163,3.5,1463
iSmart Shankar,2019.0,A,"Action, Sci-Fi            ","    iSmart Shankar, starring Ram Pothineni and directed by Puri Jagannadh revolves around a hero who has another man's memory transferred into his head.",140,5.5,1428
Anukokunda Oka Roju,2005.0,U,"Mystery, Thriller            ",    A woman with amnesia tries to unravel the mystery of the missing day in her life.,145,8.0,1426
Bheeshma,2020.0,UA,"Action, Comedy, Romance            ","    The film revolves around Bheeshma, a man making his living as a meme creator, who wants to remain single forever. But will he be able to?",150,6.6,1419
Karthikeya,2014.0,,"Mystery, Thriller            ",    Karthikeya(Nikhil) who loves to solve mysteries goes to Subramanyapuram for a medical camp where the villagers are frightened by a deadly snake in the temple.How Karthikeya will solve the mystery is the crux of the story.,113,7.4,1418
Desamuduru,2007.0,UA,"Action, Drama            ","    After thrashing a goon's son, a crime reporter escapes to Kulu Manali where he falls for a woman who soon gets kidnapped.",148,6.1,1378
Gunde Jaari Gallanthayyinde,2013.0,,"Comedy, Drama, Romance            ","    Nitin saw a girl and fell for her.After searching for her he gets her number from a friend. He contacts her and they both fall in love, but little does he know that he was talking to ...                See full summary »",150,7.1,1373
Pailwan,2019.0,UA,"Action, Drama, Sport            ","    Krishna, a fierce wrestler, faces challenges in his personal life as he tries to fulfill the dream of his father, an ex-wrestler.",166,6.4,1364
World Famous Lover,2020.0,UA,Romance            ,"    An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, a youngster romancing in Paris with Iza, Union Leader Srinu in love with his boss lady, and a first college romance.",154,4.6,1342
Theeya Velai Seiyyanum Kumaru,2013.0,U,Comedy            ,"    A shy, introvert tries to impress a girl with the help of a love guru.",130,6.1,1322
Raja The Great,2017.0,UA,"Action, Comedy            ",    Raja who is born blind but has extraordinary senses and is a trained skillful fighter is assigned to rescue a girl.,149,6.5,1321
Kadaram Kondan,2019.0,UA,"Action, Thriller            ","    Vasu, a young medico, after rescuing one of his patients from a murder attempt finds out that his pregnant wife is abducted, and the kidnappers demand the patient he saved in exchange for her safety.",121,5.7,1311
Sammohanam,2018.0,U,Romance            ,"    An unexpected encounter leads a cartoonist, who despises film actors, to fall in love with an actress.",137,7.6,1308
Simha,2010.0,,"Action, Drama            ",    A Tale of Father and Son who brings down Injustice in their reign.,155,5.8,1307
Aithe,2003.0,U,"Action, Adventure, Thriller            ",    Irfan Khan (Pavan Malhotra) is a key mafia affiliate in Mumbai. Khan is on the wanted list of criminals in Hyderabad with a bounty of 50 lakhs. Aiming to migrate to Dubai so that he could ...                See full summary »,140,8.1,1297
Takkari Donga,2002.0,U,"Action, Adventure, Comedy            ",    Outlaw in the Indian (not Native American) wild west shoots it out with bad guys over a girl and a diamond mine.,165,6.8,1272
Kadhalil Sodhappuvadhu Yeppadi,2012.0,U,"Comedy, Romance            ","    A boy and girl fall in and out of love, several times over.",125,7.1,1266
Pammal K. Sambandam,2002.0,U,"Comedy, Musical            ",    A single movie stuntman attempts to save the marriage of his hen-pecked brother.,155,7.1,1266
Kanchana 2,2015.0,UA,"Comedy, Horror            ","    A couple of revenge seeking ghosts haunts an innocent man, and the people surrounding him, to get justice for their murders.",166,5.5,1263
Saroja,2008.0,U,"Adventure, Comedy, Crime            ","    Four friends, Jaga, Ganesh, Ajay and Vishwas are motoring to a cricket game. An accident leads them to divert on a side road, where they encounter a criminal gang that has kidnapped a young girl and shot a policeman - in front of them....",156,7.1,1255
Vel,2007.0,U,"Action, Comedy, Drama            ","    On the search of his missing brother, Vasu finds out that Vel is his twin brother and risks his life to clear his brother's problem given by Sakarapandi an X-MLA .",160,6.0,1246
Pandavulu Pandavulu Thummeda,2014.0,,Comedy            ,"    When Naidu confronts his son's rival group to end their squabbles, he encounters their mother Satya, his long lost love, separated by the twist of fate. As Honey learns the secret between ...                See full summary »",156,6.4,1244
Doosukeltha,2013.0,,"Action, Comedy            ",    Venkateswara Rao (Vishnu Manchu) and Alekhya (Lavanya Tripathi) met each other when they were children. But for Venkateswara's mischief Alekhya and her mother had to leave their entire ...                See full summary »,161,6.7,1238
Oohalu Gusagusalade,2014.0,U,"Comedy, Romance            ",    N. Venkateswara Rao a.k.a. Venky (Naga Shourya) works in UB TV and his aspiration is to become a news reader just like his father N. Bhanu Murthy who discontinued his work as a news reader ...                See full summary »,128,7.7,1234
Rowdy,2014.0,,"Action, Crime, Drama            ","    Anna rules over his people in Rayalaseema and they revere him as God. When an upcoming project threatens the well- being of his people, Anna opposes it. In the bargain, he earns some dangerous enemies.",109,6.4,1230
Devadas,2018.0,UA,"Action, Comedy, Drama            ",    A staid doctor's monotonous routine is shaken up when a gangster who is on the run decides to hide from the police in his clinic.,159,6.7,1225
Sokkali Mainor,2016.0,UA,"Comedy, Drama            ","    To keep her late husband's son and his wife from seeking a divorce, a widow enlists the help of her husband's spirit.",145,6.4,1221
Dhenikaina Ready,2012.0,,"Action, Comedy            ",    A muslim man enter's his uncle's house in disguise to reunite his mother with her brother.,125,6.1,1201
Political Rowdy,2005.0,,Action            ,"    Vithal is a rowdy who commands respect from state heads like CM. He hates women and remains a bachelor even at the age of 45. Kaveri, a naughty college student, grabs the attention of ...                See full summary »",155,5.2,1199
Anukshanam,2014.0,A,"Crime, Thriller            ","    Based on real-life events, this crime thriller traces the terrible trail left by a serial rapist and killer, highlighting the ensuing media coverage, public panic and one police officer's personal crusade to capture the psychopath.",82,6.5,1189
Stalin,2006.0,UA,"Action, Drama            ",    The story is about how an ex-army officer brings change in society by making people to help each other.,168,5.9,1168
Godavari,2006.0,U,"Drama, Romance            ","    While on a cruise on the river Godavari, a romance ensues between a heartbroken idealist Ram and an independent woman, Sita",160,7.8,1159
Suryam,2004.0,U,"Action, Romance            ",    A man sets out to fulfil his mother's last wish after serving his term in a juvenile detention center for a murder he did not commit.,150,5.1,1150
Balu,2005.0,U,"Action, Crime            ",    Balu is about a youngster who is ready to sacrifice everything he had for the sake of good.,169,6.0,1148
Savyasachi,2018.0,UA,Action            ,"    A twin brother of the protagonist is absorbed due to Vanishing Twin Syndrome and controls his left hand. When his life is threatened, the twin brother that never existed protects him like a shield.",151,5.4,1144
Nene Raju Nene Mantri,2017.0,UA,"Action, Thriller            ",    Radha jogendhra journey to the Chief Minister position and what inspired him to go after political power.,153,5.8,1144
Varsham,2004.0,,"Action, Comedy, Romance            ",    Venkat and Sailaja are youngsters at Warangal who fall in love. Bhadranna is the most dreaded and ruthless landlord in Nizam area. Bhadranna also likes Sailaja and wants to marry her. Ranga...                See full summary »,159,7.1,1139
Kaashmora,2016.0,UA,"Action, Comedy, Fantasy            ",    Kaashmora uses black magic to conjure an ancient warlord and his queen. Hilarity and horror ensue.,163,5.5,1131
Run Raja Run,2014.0,U/A,"Comedy, Drama            ","    A cheated police officer who has been involved in a scam by his co-officer, goes to jail. His son seeks revenge with an extremely thrilling plan along with his friend.",137,7.4,1131
Abhiyum Naanum,2008.0,U,"Comedy, Drama, Family            ","    The father of a grown daughter meets the father of a toddler at a playground and recounts the story of his own relationship with his daughter through the years, including his difficulties with accepting her marriage.",147,7.6,1126
Eedo Rakam Aado Rakam,2016.0,,"Comedy, Romance            ",    What happens when the lives of two friends take an unexpected turn? A whole lot of confusion follows. Will they be able to get out of the mess? That forms the crux of the story.,129,7.0,1123
Asthram,2006.0,U,"Action, Crime, Thriller            ","    The story of an honest and strict IPS officer who wants to bring all criminals to justice and wishes to purge the country completely of terrorism, since his family was also once a victim of a terrorist attack.",140,5.8,1117
Irandam Ulagam,2013.0,U,"Action, Fantasy, Romance            ",    Two parallel love stories on two planets.,158,5.7,1103
Sree,2005.0,,Action            ,"    A son gets involved in a land feud to protect his beloved, and ends up taking revenge for his father's death.",135,5.3,1097
Aadi,2002.0,A,"Action, Drama, Romance            ","    Aadi Keshava Reddy, a youngster, returns to his homeland after 14 years to take revenge on Nagi Reddy who killed his family.",157,7.2,1096
Jhummandi Naadam,2010.0,,Drama            ,    Balu (Manoj Kumar Manchu) loves music very much. He wants to become a famous musician. He left his village and came to Hyderabad to fulfill his dream. He rented a house across the house of ...                See full summary »,145,5.3,1094
Pandurangadu,2008.0,UA,"Drama, Fantasy            ",    A playboy in the medieval times discovers his divinity towards Lord Krishna.,156,5.2,1086
Naani,2004.0,,Romance            ,"    Naani is an 8 year old boy who attempts suicide, but is rescued by a scientist who changes his life completely with his invention. The boy had no clue that this will transform his life and teach him how to be a good son, lover and father.",155,5.2,1084
Shatamanam Bhavati,2017.0,U,Drama            ,    The anguish that negligent children can cause is depicted here from the parents' perspective.,129,7.0,1077
Mass,2004.0,UA,"Action, Drama            ",    A man taking revenge on the killers of his loyal friend.,170,6.4,1068
Swamy Ra Ra,2013.0,UA,Crime            ,    A small time crook faces a big time challenge: he must fight to retrieve a priceless article and win the heart of his love.,120,7.3,1057
Ekkadiki Pothavu Chinnavada,2016.0,,"Comedy, Fantasy, Romance            ","    Arjun(Nikhil) is a visual effect supervisor with a bad love failure. One fine day, he takes his friend(Vennela Kishore) for treatment as the latter is possessed by an evil spirit. There he ...                See full summary »",140,7.5,1056
Amazon Obhijaan,2017.0,UA,"Action, Adventure            ","    Shankar, an adventurer, teams up with Anna Florian and her father to travel a thousand miles and fight off every danger to reach the mythical city of El Dorado.",140,4.7,1055
Chi La Sow,2018.0,U,"Comedy, Romance            ","    While Arjun doesn't want to get married, his parents set up a blind date for him at his place. The story revolves around Arjun, how he falls for the girl he's about to meet, why and how he changed his decision to get married.",135,7.8,1054
Kanchana 3,2019.0,UA,"Action, Comedy, Horror            ",    A young man who gets easily scared is possessed by a ghost that is seeking revenge.,164,4.2,1034
Vishnu,2003.0,,"Action, Romance            ","    Vishnu and Vaishnavi are childhood pals. They get separated at a young age. After a gap of 15 years, Vishnu finds Vaishnavi. He does not disclose his identity and instead to win her love on...                See full summary »",180,5.5,1031
Rakhi,2006.0,UA,"Action, Drama            ","    A common man after his sister death, he takes the law into his own hands and starts to kill men who harassing women.",173,6.3,1029
Oh My Friend,2011.0,,Romance            ,    Age-old analysis on 'can a man and a woman be friends?',130,6.6,1015
Balupu,2013.0,UA,"Action, Comedy            ",    Ravi (Ravi Teja) works as a collection agent of ICICI in Bangalore and leads a happy life along with his friends and his father Mohan Rao (Prakash Raj) who wishes to see Ravi married to a ...                See full summary »,145,6.0,1014
Aadavari Matalaku Ardhalu Verule,2007.0,U,"Comedy, Drama, Romance            ","    Ganesh, an unemployed man, lands up in a company where Keerthi, the girl he loves, works but who is already engaged to someone else. Sudden incidents ruin his life and he again comes across her, but refuses to marry her.",157,7.4,1012
Prayanam,2009.0,,Romance            ,"    A boy meets a girl in an airport and falls in love with her, but he has only 2 hours to convince her.",130,7.1,996
Antariksham 9000 kmph,2018.0,U,"Adventure, Drama, Sci-Fi            ","    When a satellite stops communicating, the Indian Space Agency need to bring an engineer out of retirement to help them fix the situation.",140,6.0,994
Konchem Ishtam Konchem Kashtam,2009.0,,Romance            ,    Siddhu always wears a smile on his face but he has sad past. Geeta joins his college. Both fall in love and are ready to get married. But Geeta's father refuses their love unless Siddhu tackle his Past problem.,165,7.0,992
Kotigobba 2,2016.0,U,"Action, Drama, Thriller            ",    A real estate agent disguised as burglar swindles from rich and also hoodwinks the police to believe that his identical twin brother is behind the robbery.,162,6.5,987
Kaadhal,2004.0,,Romance            ,"    Aishwarya, a convent-girl from a wealthy family in the town of Madurai (Tamil Nadu) falls in love with a young motor-mechanic, Murugan whom she encounters in the street. Faced with the ...                See full summary »",122,7.5,986
Current Theega,2014.0,A,"Action, Comedy, Romance            ",    Current Theega is a Telugu Action Comedy Romance directed by G. Nageswara Reddy. The village headman Sivarama Raju (Jagapathi Babu) has three daughters and the youngest one is Kavitha. Raju...                See full summary »,128,5.6,978
MalliRaava,2017.0,U,"Drama, Romance            ","    The love story of Karthik and Anjali, whose paths cross at three different phases of their lives.",129,8.0,973
Saahasam Swaasaga Saagipo,2016.0,,"Action, Romance            ",    A youngster embarks on a road trip with the love of his life until an accident causes things to get out of control.,154,6.9,970
Premam,2016.0,UA,"Comedy, Drama, Romance            ",    Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,157,6.5,964
Johnny,2003.0,U,"Action, Drama            ",    A martial arts coach struggles to earn money through fights in order to save his wife suffering from blood cancer.,180,5.4,964
King,2008.0,,"Action, Comedy, Crime            ",    A hoodlum look-alike assumes the identity of a noble man.,131,6.5,963
Endrendrum Punnagai,2013.0,UA,"Comedy, Romance            ","    Three best friends, Gautham, Baby and Sri, decide to stay single all their lives. But Baby and Sri get married and Gautham is left alone until Priya comes into his life.",155,6.7,952
Mugamoodi,2012.0,,"Action, Adventure            ","    A hopeless young man uses his ""Kung-fu"" skills and mask to tackle a bank robbery group without revealing his identity.",150,4.9,950
NTR Mahanayakudu,2019.0,U,"Biography, Drama            ",    A follow up to NTR: Kathanayakudu which was based on N.T. Rama Rao's life and acting career. This movie will focus on his political career.,128,5.4,946
PSV Garuda Vega,2017.0,UA,"Action, Drama            ","    A hacker tries to sell sensitive data related to a scam and an NIA officer accidentally gets involved, saving him from getting killed.",150,7.9,945
Kurukshetra,2019.0,UA,"History, War            ","    The film is loosely based on the Indian epic Mahabharata and poet Ranna's Gadhayuddha with the story centered upon Duryodhana, a Kaurava king.",185,6.9,939
Uu Kodathara Ulikki Padathara,2012.0,,"Action, Drama, Fantasy            ","    With the help of a young man, a ghost get its revenge for its death.",0,4.9,933
Mr. Nookayya,2012.0,A,"Action, Comedy            ","    Nookayya (Manoj Manchu), who calls himself Nokia, is an expert cell phone thief. He has a good heart though and together with his friends Nampally (Paruchuri Venkateswara Rao) and Charger (...                See full summary »",140,6.3,928
Mirapakai,2011.0,UA,"Action, Comedy, Drama            ","    Rishi sends to Hyderabad and join in a college as a Hindi lecturer as a part of an undercover operation. He fall in love with her student Vinamra. Rishi has to extract information about Kittu from Vaishali, another student.",160,6.3,916
Nenu Meeku Telusa...?,2008.0,,Thriller            ,"    Adi, a wealthy man, loses his memory in an accident, which also leaves his father dead. He is then arrested for the murder of his uncle, but he has no recollection to prove his innocence.",132,6.9,916
Satya 2,2013.0,A,"Action, Crime, Drama            ","    To build a strong underworld, a man comes to Mumbai to rectify the errors made by previous mafia leaders.",142,6.0,915
Pooja,2014.0,UA,"Action, Drama            ","    Vasu, a moneylender, foils a planned attempt to kill a police officer by a gang. This sets the gang's leader, Thaandavam, and his goons against him who find out later that Vasu and his family need to be eradicated on more than one count.",154,5.0,912
Naan Sigappu Manithan,2014.0,UA,"Action, Drama, Thriller            ",    A narcoleptic becomes a vigilante when tragedy strikes.,149,6.5,909
Sakthi,2011.0,A,"Action, Fantasy            ","    While on a trip, a guide starts protecting the central minister's daughter from some Egyptians who want her and a holy diamond in their custody.",161,3.5,909
Uyyala Jampala,2013.0,U,"Drama, Family, Romance            ","    A romantic entertainer between a ""bava"" and a ""maradalu"" set in a contemporary coastal town.",124,7.2,904
Khadgam,2002.0,UA,"Action, Crime, Drama            ","    Koti, an aspiring actor, rickshaw driver Amjad and Radha Krishna, a cop, have all been affected by terrorism. Circumstances bring them together and they decide to foil the plan of a dreaded terrorist.",142,7.7,901
Bachchan,2013.0,UA,"Action, Crime, Thriller            ",    A real estate businessman is forced to go on a vengeful crusade after the love of his life is tortured by goons.,145,6.6,898
Bunny,2005.0,U,"Action, Drama            ","    Prior to his marriage, a young man asks for the property of his fiancee's father, a millionaire, to be written in his name.",139,5.7,890
Sri Rama Rajyam,2011.0,,"Drama, Fantasy            ","    Lord Rama's life is one of perfect adherence to dharma (righteousness) despite harsh tests of life and time. Sri Rama Rajyam movie explains how poet Valmiki, the author of the epic Ramayana...                See full summary »",172,6.7,885
Varudu,2010.0,UA,"Action, Drama, Thriller            ",    A soon to-be married bride is abducted by a man who is obsessed with her.,150,3.5,877
Rakshasudu,2019.0,UA,"Action, Crime, Thriller            ",    A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally.,122,8.2,875
Gharshana,2004.0,A,"Action, Crime, Drama            ",    A vengeful gangster targets and terrorizes an entire police unit and their families.,159,7.3,872
Gaganam,2011.0,U,"Action, Crime, Thriller            ",    It is up to Ravi (Nagarjuna) who has to rescue a flight from Chennnai to Delhi which is hijacked by Yousuf Khan 's men.,120,7.1,869
Amar Akbar Anthony,2018.0,,Action            ,    A man suffering from Dissociative Identity Disorder has to take revenge against four businessmen for the murder of his family while his past confronts him in the form of his childhood love.,153,4.3,868
Krishnarjuna Yudham,2018.0,UA,"Action, Comedy            ",    A pair of look-a-likes hatch a plan to win over the women they love.,156,5.6,861
Express Raja,2016.0,,"Action, Comedy, Romance            ","    After handing over his girlfriend's favorite dog to dog catchers, Raja loses his love. Now, Raja has to go on an adventurous quest to find the dog before its too late.",150,7.1,851
Kuselan,2008.0,U,"Comedy, Drama, Family            ",    Kuselan revolves around the tale of a beautiful friendship between a popular actor and a poor barber.,165,4.7,849
Kantri,2008.0,,Action            ,"    An NRI returns to his village with his family with a mission to better the lives of the village natives. But in a sudden turn of events, the NRI is left helpless, as a fellow villager ...                See full summary »",166,4.9,832
Malli Malli Idhi Rani Roju,2015.0,UA,"Musical, Romance            ",    Malli Malli Idi Rani Roju is a feel good love story which stays within your heart.,161,7.5,831
Raju Bhai,2007.0,,Drama            ,,139,5.9,831
Ayogya,2019.0,UA,"Action, Drama            ",    A corrupt police officer finds his life changing when he takes on a case of gang rape.,146,6.1,829
Gudumba Shankar,2004.0,U,"Action, Comedy, Drama            ","    Shankar aka Gudumba Shankar, a petty-thief, falls in love with Gowri. When Shankar learns that Gowri and her family are harassed by powerful goon Kumaraswamy, he sets up a plot to fool kumaraswamy.",176,5.7,829
Potugadu,2013.0,A,"Comedy, Drama            ","    Govinda Naama Sastry (Manoj Manchu) is a young man who decides to commit suicide. He goes to a lonely spot and decides to have one last drink. At about the same time, Venkata Rathnam (...                See full synopsis »",125,5.7,826
Vastadu Naa Raju,2011.0,,"Action, Romance            ","    Narasimha (Prakashraj) is a local goon, who resorts to murders and extortion at the behest of Home Minister Adikesavulu (Sayaji Shinde). Narasimha""s life ambition is to become an MLA and ...                See full summary »",135,5.8,823
Dubai Seenu,2007.0,U,"Action, Comedy            ","    Seenu - Ravi Teja, is fondly called as Dubai Seenu. His sole aim in life is to fly to Dubai and earn tonnes of money. In the process, he gets hold of a broker and gets duped by him in Mumbai.",157,6.5,822
Dongata,2015.0,,Comedy            ,"    Dongaata is a comedy thriller starring Lakshmi Manchu and Adivi Sesh. The film marks the debut of Vamsi Krishna as a director,and the film has also been produced by Lakshmi Manchu.",140,6.3,821
Sahasam,2013.0,UA,"Action, Adventure            ","    Gautham Varma, an A.T.M security guard, goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India - Pakistan partition.",150,6.6,817
Dynamite,2015.0,,"Action, Thriller            ",    Dynamite is the official remake of Tamil film Arima Nambi. The story revolves around the kidnapping of a girl and how the hero tries to hunt down the criminals and save her.,142,6.6,813
Alex Pandian,2013.0,U,Action            ,"    A Chief Minister's daughter is kidnapped for a price. They do not need money , but their demand is worse.",135,2.4,809
Ragada,2010.0,A,"Action, Comedy            ",    A local village rowdy arrives in the city to earn money by any means and participates in a brawl between two rivals that brings him to their attention.,146,6.1,805
Chalo,2018.0,,"Action, Comedy, Family            ","    Hari (Naga Shaurya)'s fascination is fights and disputes. He is always involved in one or the other fight just for the sake of it. In an interesting scenario, Hari is sent to a village ...                See full summary »",145,6.4,796
Munna,2007.0,,Action            ,    Munna is a college student who targets Khakha a local gangster unaware of his father and also takes revenge on him for trafficking his own mother for money.,167,5.6,793
Disco Raja,2020.0,UA,"Action, Sci-Fi            ","    Attacked and frozen to death, a dead man is revived by a group of doctors with the help of a technology that brings back dead people alive.",141,6.4,792
Krishna and His Leela,2020.0,,"Comedy, Romance            ","    Torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit.",125,5.3,792
Yeto Vellipoyindhi Manasu,2012.0,,"Drama, Romance            ",    The ups and downs of a romance between Varun and Nithya from childhood to adolescence.,153,7.3,790
Praana,2019.0,UA,"Crime, Drama, Horror            ",    A young woman decides to live a life of solitary in an old mansion away from the city's hustle bustle. Little does she know that the nature surrounding her has other plans for her.,107,8.5,782
Shankardada Zindabad,2007.0,U,Comedy            ,    Shankar Dada joins Mahatma Gandhi to fight against a property owner and works as a radio jockey to solve problems non-violently.,152,5.2,781
Padi Padi Leche Manasu,2018.0,U,"Drama, Romance            ","    Set in Kolkata, the romantic drama chronicles the shared destiny of a young couple as they navigate through the highs and lows of a budding relationship.",158,6.4,778
Quick Gun Murugun: Misadventures of an Indian Cowboy,2009.0,,"Action, Comedy, Drama            ",    A once-dead vegetarian cowboy is sent back to life to battle a beef-eating villain.,97,5.9,775
Thamizh Padam,2010.0,U,Comedy            ,"    A Movie kidding about the usual scenes used in vernacular, mostly Tamil movies.",160,7.3,771
Ek Niranjan,2009.0,A,Action            ,"    A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",150,5.2,768
Annavaram,2006.0,UA,"Action, Drama            ",    This is the story of a brother who wanted to give his sister the best of everything.. a pure sentiment story on family.,175,4.8,768
Bindaas,2010.0,,"Action, Drama, Family            ",    Ajay (Manoj Manchu) and his parents are estranged from their joint family in Rayalaseema. Ajay belongs to the family of Mahendra Naidu (Ahuti Prasad). Seshadri Naidu (Jaya Prakash Reddy) is...                See full summary »,143,6.8,767
Prema Katha Chitram,2013.0,,"Drama, Horror            ",    Three friends and a stranger go to a house and plan to commit suicide. But later they realize the house is haunted,130,7.1,766
Vismayam,2016.0,U,Drama            ,    The film narrates the life of four persons and their struggle for their survival in differnt situations..,164,7.7,759
Gaddalakonda Ganesh,2019.0,UA,"Action, Thriller            ","    An aspiring filmmaker who wants to direct a realistic story, stumbles upon a menacing villain and to learn the nitty-gritties of the villain's character, he puts his and his friend's life on the line.",130,6.6,752
Oka Laila Kosam,2014.0,UA,"Comedy, Romance            ",    After his post-graduate studies Karthik takes a holiday in Europe. On his return journey he falls in love at first sight with Nandana.The rest of the movie deals with the extent to which he will go to win her heart.,150,6.1,749
Venky Mama,2019.0,UA,"Action, Comedy, Drama            ",    A story of nephew and a son which revolves around their emotions and village drama and army based story.,149,5.5,748
Kick 2,2015.0,UA,"Action, Comedy, Romance            ","    An NRI doctor returns to India to sell his property, but winds up falling in love.",170,5.1,747
Gayatri,2018.0,UA,"Drama, Family            ","    Sivaji, a stage artist, finds whereabouts of his daughter who disappeared two decades ago and finds out that the kidnapper, Gayatri Patel, is an exact lookalike of him.",125,6.5,746
Shourya,2016.0,UA,"Romance, Thriller            ",    Shourya and Netra who have eloped to get married get involved in a bigger complication when one of them gets viciously attacked along their way.,124,6.9,733
Ashta Chamma,2008.0,U,Comedy            ,    Ashtachemma Lavanya (Colors Swati) is a hardcore fan of hero Mahesh Babu. And her ambition is to marry hero Mahesh. But her heart is broken when Mahesh married Namrata Sirodkar. She lowers ...                See full summary »,126,7.3,733
LIE,2017.0,UA,"Action, Thriller            ","    Sathyam is hired by the National Investigation Agency to help catch Padmanabham, the master of disguise, by following a suit which he is assumed to have an obsession with.",145,5.9,730
Dev,2019.0,U,"Action, Adventure, Romance            ","    Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",157,4.8,727
Pataas,2015.0,A,"Action, Comedy            ",    A corrupt cop gets himself transferred to Hyderabad where he has a change of heart while trying to teach his estranged but dutiful father a lesson.,127,6.7,727
Okkadu Migiladu,2017.0,UA,Action            ,    Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,141,7.2,725
Majnu,2016.0,UA,"Comedy, Drama, Romance            ",    An assistant director juggles relationships with two women while he writes a romantic comedy.,138,6.4,725
Srinivasa Kalyanam,2018.0,U,"Drama, Family            ","    ""Srinivasa Kalyanam"" illustrates the sacred bond with another human through nuptial rituals and the sanctity of the institution of marriage.",140,6.0,724
Luck Unnodu,2017.0,,Comedy            ,"    The ironically-named Lucky gets embroiled in a heist when a friend hands him a bag of cash, which was stolen from a don, who stole it from the bank, and will not rest until he recovers it.",118,5.6,724
Amma Nanna O Tamila Ammayi,2003.0,,"Action, Drama, Sport            ","    A former kick-boxer, after death of his wife, trains his son who hates him for boxing match for revenge on his former student.",154,7.3,715
Jayasurya,2015.0,U,"Action, Thriller            ",    A cop mistakenly believes that taking out three thugs will end Madurai's crime wave.,135,6.0,713
Bangaram,2006.0,A,"Action, Drama            ","    In order to join an international news channel, a fired reporter tries to obtain his boss's signature on a character certificate but is forced by circumstances to help the latter's daughter elope from her wedding.",178,4.7,710
Dora,2017.0,A,"Action, Horror, Thriller            ",    A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.,139,5.3,704
Don Seenu,2010.0,,"Action, Comedy            ","    To make himself known as a gang-leader, a man must woo the sister of a dangerous gangster.",164,6.0,704
Vunnadhi Okate Zindagi,2017.0,U,Drama            ,    It's about friendship between 2 friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival.,152,6.4,703
Krishnam Vande Jagadgurum,2012.0,UA,Action            ,"    In order to fulfill his promise to his grandfather, a man acts in a play in his native village, where he stumbles upon the truth about the death of his parents.",136,6.9,699
Killing Veerappan,2016.0,UA,"Action, Biography, Crime            ","    A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",151,7.3,697
Gunturodu,2017.0,,"Action, Comedy            ",    A man and woman meet in college and are on their way to a lifetime of happiness when their plans get hijacked.,142,6.4,693
Mr. Majnu,2019.0,UA,Romance            ,    A charming playboy who has never had a serious relationship finds himself in a spot of bother when he finally meets the right girl. Will they end up together? Or will his fear of commitment affect their relationship?,145,6.1,692
Not Today,2013.0,PG-13,Drama            ,"    While on vacation with friends in Hyderabad, India, Caden Welles - a privileged young man with the world at his disposal - takes an unexpected turn in life after initially refusing to help a starving man and his daughter.",103,5.7,687
Oy!,2009.0,,Romance            ,    Uday (Siddharth) is a rich and spoilt brat who believes in short term pleasures. Sandhya (Shamili) is a loner who lives on her own. She is a responsible girl with long term plans and strict...                See full summary »,166,6.7,687
Nuvve.. Nuvve...,2002.0,,"Drama, Romance            ",    A rich Businessman is obsessed with his daughter who falls for a poor guy.,168,7.4,685
Loukyam,2014.0,UA,"Action, Comedy            ",    Venky tries to right his wrongs by involving his family and also convince the girls side without getting messed up in between.,150,6.4,672
